D-2.2-067	data_model	Phase 2.2	§4.4.1 Bid Workspace orphan-buyer state
D-1V2-003	documentation_gap	Phase 1	`_audit/PHASE1_VERIFY.md` §11.5 (V1 sign-off) + `_audit/AUDIT_README.md` line 81
D-3.4-007	observability	Phase 3.4	§25.2.4 line 18495; §4.7.1 AC #7 line 7451; §42.6.1 lines 30816–30848
D-3UX-027	plan_gating	Phase 3 (Audit, Second Pass)	§3.10.4 lines 3061, 3063, 3069
D-11.1-005	surface_engine_mapping	Phase 11	Master Spec Appendix M.1 (lines 49000–49371); §11.1–§11.4 source; FEATURE_INVENT
D-11.1-006	surface_engine_mapping	Phase 11	Master Spec Appendix M.1 (lines 49000–49371); §3.x / §20.x / §22.x / §29.x / §35
D-48-005	instrumentation_gap	Phase 48	§48.7 PostHog telemetry tables — §48.7.1 M14 lines 37805–37814; §48.7.2 M15 line
D-48-008	documentation_gap	Phase 48	§48.5.3 M3 EvaluationCertificate `payload_canonical_json` schema line 35655; Wor
D-CONS-002	documentation_gap	Phase CONS	DEFECT_LEDGER.md — every canonical row's `severity` cell
D-CONS-003	documentation_gap	Phase CONS	DEFECT_LEDGER.md — every canonical row's `class` cell
D-2-043	authored_extension	Phase 2	`_integration/AUTHORED_EXTENSIONS_LEDGER.md`
D-4.12-016	state_machine	Phase 4	`seller_page_enrichment` outcome signal depends on a SellerPage state machine no
D-4.12-020	acceptance_criteria	Phase 4	§21.4 sub-sections (§21.4.1 – §21.4.5) carry NO independent ACs
D-34.19-011	acceptance_criteria	Phase 34.19	§34.20.16 AC #79 line 30503 vs §34.19.4 four required elements (lines 30337–3034
D-34.19-012	consistency_drift	Phase 34.19	§34.6.5 (lines 29033–29044) vs §34.19.1 (lines 30274–30288)
D-34.19-013	documentation_gap	Phase 34.19	§22.3.1 KBEntry retention (line 16129); §22.3.2 KBDocument retention (line 16156
D-34.19-014	documentation_gap	Phase 34.19	§4.4.4 Capability Declaration (line 4730 retention block); §4.4.9 SellerSoftware
D-34.19-015	state_machine	Phase 34.19	§22.4.4 Namespace Migration (line 16274) vs §34.19.1 Class 2 invariant (line 302
D-34.19-016	state_machine	Phase 34.19	§34.5.1 Effective time row (line 28961); §34.5.2 (line 28974); §34.20.5 AC #22 (
D-6.1-014	acceptance_criteria	Phase 6.1	§4.7.1 AC #2 line 7890; §25.2.1 lines 19727–19733
D-6.1-015	firewall_leakage	Phase 6.1	§4.7.1 row-level seller projection table line 7798
D-6.1-017	observability	Phase 6.1	§4.7.1 (no AuditEvent emit); §25.6.4 line 20813 (kill-switch only); §4.6 AuditEv
